USER_ID,ITEM
mc2jdg8g,ezq
d563oaa9,xts
1y87suht,gxs
pby9pui9,ssd
9od149f9,ukz
r92xfwkt,tqv
nivq8tdv,nvk
4ayag557,wal
xx8z6cs7,ppz
a860dfsb,mug
yv863dzx,pme
en9bf5ya,qtt
bhggybak,kno
tttd8tzm,pvs
rzqrgun7,gvs
tj4qamb4,xvc
0foctf9u,rgk
lc4ao2e9,msc
ncls36qw,dip
9lz94ruh,agg
rgbyhvox,tds
ghvpg317,kju
f0d17gx5,csu
8s115nb7,rgk
mty41ud6,evr
kw8y76vb,hiy
ihxnte4d,ktv
zlzu6afv,ktv
ris3mhhp,rqy
9mxy2ohi,xuk
o902bltv,rfq
iy7v17kt,tlb
ueze2p37,lre
v1efuna8,uut
lcbv3bcw,rgk
qtq43lhe,kii
3v321y7a,bdl
en9bf5ya,zvz
idc2vhto,yib
howmu7op,zpa
gzkyj78k,jtx
qofr6xzr,win
2sktkjxd,rxr
r5kjbdle,msc
j65xsogj,tlb
bgbipbkt,xhj
cqbhw566,esu
g2m81wsc,wal
aep3yo7u,rfq
psuaytxg,wvt
9v1p4ble,gaf
3c5lb1rh,xvc
5axgcy7c,qdu
kufrz1yr,rbc
qjbieo2q,gxs
skenqt17,bju
zolwgnq6,ssd
f9uhi6cu,rfq
7oqbjytf,win
tlzktjir,evr
19rxes6b,tnn
r6extbym,kka
2kbiyt8f,qvz
3rg2kjpn,rgk
h0r1xcz6,gxs
nh0vx6el,jtx
cj9jjuwr,oei
vd48yze6,dnl
nu60tf8f,rfq
42ne614l,bdl
qgczc2up,zvz
lx5tmimw,msc
n0t0uty1,kno
5thcatvp,agg
pjlmnnlo,eld
58sqn1us,jxy
8zpa43b5,zkb
u7vt9o8h,ssd
wn6z4gnj,ljj
bcjb5til,zkj
4mjsfdjv,jtx
grelvbee,oei
s0w9gg16,qzy
cqbhw566,tnn
qi9q9xf5,zkb
6p0w1a9o,nam
3srzd0vx,rhr
c6b65jll,rhr
xvujosod,bju
gs7w0y8w,ktv
da27qfrt,tds
d1d8u19x,rqy
wfel9qlx,jag
t3lil7qa,rwl
feaay041,qdu
wwwd19ig,hiy
3jrf4q3e,qtt
qlpd7iuw,jtx
7ire1r6c,mgo
4rvd6wku,pgi
kvc4odlh,qdu
0o421n4u,fhx
dpeajvyd,xzh
tq4c4l3c,kea
bibuxl21,akb
5qdkbmwc,kii
q0ryukh6,xvc
q1myp988,bdl
rbo4uuvp,ssd
j9m05c45,fhx
32xgykno,rsu
5lalhhyg,dip
gus0vd3m,xuk
r31was23,icr
irvdumax,jas
epulj19w,kea
qhvbv7y3,akb
yxvf2o41,ssd
ealwxmpk,mwc
u65quv86,mwc
k57mjdxs,qdu
en9bf5ya,xts
6idq3nai,udm
la4x0zdh,ezq
rhyw4tmx,ukz
vdzljiu6,ukz
uimrioex,zkb
dml47d7d,oyy
3sor5iea,ljj
uf8etbyo,zkj
l7vlifim,xpf
hinkvvv3,oid
jyc52v2o,win
pnzq4ag1,akb
2dnm0sxy,ssd
a87m3lvc,fhx
bwbz4nhy,gkw
sshsj4pq,qyl
xee5lqfd,rxr
3cc2532s,oid
34yo9kt8,dip
oqb61n7o,ljj
5jgj0aun,jmn
oqmzoel1,wvt
iocaui67,oyy
yihznkdd,jxy
kyc2shde,mug
yqsfi30j,pga
5rdealtj,csu
bpj1j1kv,edz
wt1hew48,tqv
ueze2p37,pgi
yv863dzx,mgo
3sor5iea,xpf
mbvb62mw,pvs
hu7zep1r,rqy
ohh4e2kh,kju
hl8s7pqy,wpz
n38chqry,jxy
c80hmeho,jas
ad76p04r,nvk
s7ukhr43,esu
khtvjy2y,oei
lirzoxzd,xuk
vwy917bc,evr
qs3anovq,ugd
qfz559bi,gvs
5sne9l97,qtt
06witg6w,qvz
fhjnyqie,rgk
xt7f25w6,wpz
bor7aknd,kii
qesasunn,gkw
7vtji8nv,hvl
18do44h5,jwu
o43cl397,mgo
yu3cp49r,xpf
xcglny9u,tqv
i5ffhjku,bju
iep6j6n2,kka
hd3k8o22,bju
sqvdp727,gxs
qu1bug31,xvc
xcglny9u,rsu
td0fkoml,rxr
68e9kgsi,gvs
c9rc1s3r,szm
sfumpe7z,kno
7j07ma8v,mug
d5anfdej,gxs
euid7a9o,bdl
sfumpe7z,kii
en9bf5ya,wpz
jz3ohapv,xpf
dveyaqk8,esu
gcexnxa7,qtt
n16gxdeg,xpf
joe44s2l,mll
bhzj5o7x,xhj
yi0etnmt,tqv
1vpagd4m,zkj
dykjub3u,hcc
da27qfrt,rhv
8mco3bzg,xvc
jloap5h5,dnl
sl5k98pi,bzx
7wyk61h1,fhx
m74te7md,agg
6ot6dk2l,pga
0lhhjo38,jtx
u0pmg818,gxs
jm8903td,ktv
gcckxt41,qyl
mhxjnye0,gvs
6xjau76x,wal
vc62gku9,kka
f6z9u5bo,bzx
9739prr3,akb
1htzr5nv,ugx
exhzk1ci,bzx
5jiflut2,wal
amheugua,hvl
3ryb7mu3,agg
xmkkmd42,oei
jtrisry3,qvz
b1yc7lmm,wal
9whpawci,evr
98hegitz,xhj
5axgcy7c,kea
s22cccu0,gvs
p9m23wwr,nam
v356ei7t,ngc
hcqxjnmq,gkw
ed6g6hlg,hvl
euagrwi1,esu
g0bx3wv0,ppz
d3u006og,bju
jf0lc6fq,ryy
q65srju2,rxm
8ldgr47w,gaf
wp3k8o7o,pvs
fm2kgvro,bju
86j5cn8n,tds
ty9njgxg,dip
5ijmxz0c,rfq
d8jsocac,zkb
ris3mhhp,pme
jlvw393t,nvk
wsv3shzn,tlb
xj34vp5y,ssd
tttd8tzm,dip
1fzpa29s,gkw
skenqt17,xpf
dsgsyplt,gxs
9lz94ruh,rqy
8sn99rmc,pme
6jcnfdnu,wvt
b7fa7tgq,lgc
wsv3shzn,gvs
roatkz2f,dip
ed5315n2,pgi
8eg1ra2t,dnl
lkvp3vz0,zvz
h37q8eau,pga
r81mollz,lre
jyp4wwhd,tlb
pqrqwx3a,kka
nvlv61jq,win
xj2sddta,fhx
ouywe7ak,dip
im54oc4n,dnl
yxvf2o41,ppz
m8x4tsuu,bdl
sljw8t75,wal
qi5tdy23,ezq
v1efuna8,wvt
0pvwy721,evr
p9m23wwr,zvz
b1yc7lmm,win
w4rlnvm2,csu
h6qhr8s8,ppz
19rxes6b,nvk
7lzk3fv7,ryy
o1w38a4v,gaf
96ntjpx2,ugd
bmgz1way,ngc
qdd7c4en,rfq
dmbf2lme,tnn
xvqm6668,jwu
jqbufdl2,bdl
td0fkoml,jtx
gj7zvu6t,pga
gyab9vgq,eld
too6tswy,xts
e7tqfk4v,mwc
qlpd7iuw,xuk
rvoovkbw,xzh
bkglq4ge,xts
qne1myqy,dnl
2r6ycws9,oyy
gw9qjrlr,udm
f3nj3nwq,rsu
44urz9cb,rfq
mty41ud6,oid
fq4j5u1u,qyl
jtrisry3,ktv
ghazps8c,rhv
9od149f9,mwc
j6hg373c,wpz
wrkuh4qv,ljj
fmkre8bd,pgi
0bxbl9f8,yqi
s4sl8rlr,wvt
3srzd0vx,dip
szs934by,qdu
hu6qxfu5,xts
02gfkw7b,qdu
m8x4tsuu,dnl
n7xmtpy8,szm
0mcyq2f1,bju
vwy917bc,win
gcckxt41,tnn
qesasunn,rfq
rcfxqd7a,ezq
ju0kcb1l,dip
pt62f43m,rhr
xfyep5b8,rhr
woc0ol0c,pga
8z6xzjhb,kju
zsegnvqa,ssd
i7xioi2y,jag
y5r55fgn,mgo
kit52qkf,qzy
oskczo05,hvl
l6pf4udd,kka
zqk9c8i5,ryy
h5yx9oio,ljj
c2bw8u3f,udm
dpeajvyd,ugd
zdhjd6b3,csu
yi0etnmt,bdl
exhzk1ci,qzy
96b0q4ui,rfq
4rvd6wku,uut
6b223rkl,tqv
6xjau76x,qvz
ehgjpg1x,xzh
rgbyhvox,ktv
0g26hpny,pgi
q0sq7k2j,nam
43ojdl9l,xts
kkbn1p86,zpa
gyab9vgq,qzy
3cuvja1h,icr
xsgqaonm,rqy
cxuz94pf,qyl
8b1slfuz,pgi
x4vdw57c,pga
trmgqc61,qtt
0foctf9u,jwu
6y8uwjmt,udm
p35vpotw,qvz
dcle2lpa,jxy
7vtji8nv,ljj
0z7pd4l1,oei
xpxsaz85,mob
nlvgw7r4,xuk
1fzpa29s,zkb
36wwnj9b,jas
o43cl397,kju
zsegnvqa,zvz
hr352e9t,mgo
7zgyaxrp,kka
g0c7eq6k,icr
criuz254,rxm
c6b65jll,msc
iocaui67,zxe
xwfzuqrf,lgc
d3gnoios,uut
q0o7ls42,hiy
9mxy2ohi,mll
8rdr7kae,pga
h34bgpc9,fhx
9neqxvhf,oid
gs7w0y8w,mgo
c7renybl,rfq
mu7pfixg,mwn
q65srju2,evr
n60f4f1z,lgc
qgskajcm,tqv
qe5qo4q5,tds
s7ukhr43,szm
j3i57frj,ugd
xt7f25w6,mwc
t94k3j40,pgi
h6qhr8s8,kno
s07uvv03,jas
6idq3nai,jas
7zt7sbmf,ugx
3srzd0vx,ssd
3q2cloit,rhr
v1efuna8,wze
2x55t84r,xhj
gvc7bxje,edz
debobvr9,tlb
tcgipoij,jas
g0bx3wv0,eld
h37q8eau,gkw
plsoxrk4,zpa
axaseogv,edz
xyevnapg,oid
fyqu04w4,mug
5thcatvp,mwn
u9teptha,jwu
0g26hpny,mgo
bws8x417,ugx
ncls36qw,tnn
cjhdg64e,mwc
s9k3b1bh,icr
cl70w549,eld
31r1cxdp,wvt
0x0lngis,zvz
zpkrm589,kea
hd3k8o22,csu
8ldgr47w,gvs
lga766c3,lre
5jgj0aun,oid
62rpcoml,jag
xf6fsj1g,rqy
n41305oe,win
fmkre8bd,zpa
lnnsm9cr,akb
09jyn3ly,hiy
f82jxdbq,gkw
44urz9cb,tds
hl8s7pqy,ngc
i5w4n465,yqi
yieyu86p,qdu
syxbjp26,zkj
36wwnj9b,pga
m2og6p52,rsu
5qdkbmwc,xvc
ounzk1ov,pvs
s92lf2gd,zpa
zwlg9alw,gxs
9od149f9,ugx
f6z9u5bo,rfq
673t5cbd,xuk
im54oc4n,kno
fddzmpph,xzh
oudhv7tm,bdl
64ynia8d,eld
qaskwea3,hvl
iu31w0p5,oid
jzw5993j,csu
jatfzs24,tlb
nsysiztm,akb
tdkaujpc,tds
r81mollz,pvs
1q7yxbf6,mug
ghazps8c,jas
ixnpclez,zvz
pn5vffdw,evr
7ire1r6c,oyy
xyevnapg,gxs
129xkc3k,jtx
6jcnfdnu,akb
3198kcjg,bju
o3e9r5vq,ryy
401qx0pn,rhr
e782mopp,qdu
padho5yv,kno
z1hqjon7,kno
yy4swo9z,rqy
8rdr7kae,mug
us1sjnhy,edz
xsgqaonm,rhr
or8g0h5m,dip
y1hldevi,fhx
fz9q298a,szm
f1fy8ls2,csu
n16gxdeg,hvl
wfel9qlx,udm
3rg2kjpn,qyl
0mcyq2f1,ezq
ocvnn2v3,jas
6xjau76x,ppz
rulkp9yp,xzh
0pqblysb,lre
v5r5m0o0,uut
l9spdklo,xvc
c9rc1s3r,oyy
fm2kgvro,ktv
jz3ohapv,rhr
oqmzoel1,csu
zsegnvqa,uut
f4bpzg8u,jwu
huqnr9a3,hcc
q1myp988,bzx
ec4lqk9n,rhr
uuld2oaz,ukz
cqbhw566,ljj
qgskajcm,oei
ihxnte4d,jwu
tbgvjiuw,fhx
wn6z4gnj,wvt
5ijmxz0c,ryy
mhxjnye0,ugx
qgskajcm,tds
f9uhi6cu,jmn
p35vpotw,msc
khtvjy2y,xzh
c255sgh3,jxy
tj4qamb4,jwu
nbdw2uek,gaf
zk3ahdb7,agg
5qdkbmwc,ugx
ed6g6hlg,rxr
jc92shne,rqy
7vtji8nv,bzx
81lowio7,agg
tp41asbp,pga
ymhd1x6m,rsu
j3i57frj,gvs
1urhyos8,zkb
qi9q9xf5,hcc
ghazps8c,rwl
2x55t84r,zkj
yo3bt7a0,agg
0l7gw321,lre
iiw1kzze,dip
s92lf2gd,wze
09jyn3ly,oid
h08jyx8c,akb
zucmane7,xhj
mmzguaqt,xzh
f3nj3nwq,mob
irvdumax,lre
roatkz2f,zxe
xvujosod,pga
jqay4s3p,kea
6skoi6ek,evr
pbmd6hhf,qyl
a3mfahx3,xhj
pby9pui9,jwu
7p5pexit,jas
98hegitz,uut
0clhuhgb,gvs
zcifjm1s,ryy
celajkzt,szm
8vtpkavs,esu
5axgcy7c,oei
f3nj3nwq,rbc
gus0vd3m,dnl
tbf82n1w,gxs
yo3bt7a0,tnn
itxojdnh,tqv
8y98e0kd,evr
r8zm5ybf,jmn
lst3waja,agg
ss3oid30,zkj
62rpcoml,dip
6skoi6ek,ppz
13gewjj2,oei
9739prr3,yqi
xgfdau13,zvz
3ur8bzzz,bju
h77jjrdl,wal
jret4f2d,qyl
1q7yxbf6,hiy
2tzutyxk,oyy
xgfdau13,gkw
qhvbv7y3,win
mmcr3bqw,qvz
us1sjnhy,hvl
oudhv7tm,rxr
3ifgep5p,jwu
nlvgw7r4,rwl
867dtjeu,dnl
5c47pu6o,mob
kdih6tww,rbc
2tzutyxk,qtt
jyc52v2o,hvl
wt1hew48,zpa
r2mhlwh2,kno
31r1cxdp,rgk
dmbf2lme,jxy
hvh2fwz8,xts
qtq43lhe,icr
sqvdp727,rbc
nlvgw7r4,ugd
yieyu86p,hvl
p32bm2a4,rfq
0uyy1gda,wpz
hr352e9t,ljj
fdyuyxsf,rqy
nbqwinkv,rwl
h4yslo5v,rfq
98hegitz,tds
ghazps8c,oyy
4wg22re0,evr
ik48z4ff,jxy
dw56sr4g,kea
k4hpu8xf,rxm
qne1myqy,oyy
b9trif2o,ukz
dykjub3u,rhv
euwqmexh,zvz
2f43osbc,hvl
nt94mcku,rhr
mrbhn0vq,ljj
mtob7rro,xts
67hzjdbk,jxy
g16ar8h8,jmn
8ske5wz0,jmn
pcsl457r,bdl
bkglq4ge,hiy
9v1p4ble,kii
tj4qamb4,lgc
9739prr3,hvl
zolwgnq6,oid
nivq8tdv,rsu
cmi7vfq4,wze
arue2c4z,bzx
iu31w0p5,hcc
efmk7d8k,wpz
ouqpdvhw,kju
hrnr6uzj,kju
zucmane7,ukz
2elrkhuc,jtx
7ire1r6c,akb
ypiom2tq,xts
escqvww8,ngc
oolrzu8z,rgk
gzkyj78k,pme
81lowio7,dnl
7oqbjytf,akb
13gewjj2,hvl
i7xioi2y,ssd
vahqf486,tqv
2f43osbc,wze
hvh2fwz8,mwc
kfcqb3k8,dip
fhjnyqie,wze
srr58l46,zvz
3rfi1ko1,gvs
pykf1vq7,hvl
ndwm5jp9,pvs
xn1fhgbe,tnn
6vxafmj1,ngc
xvqm6668,jas
58sqn1us,pme
anzdmi65,xhj
3ur8bzzz,gkw
2iobrbqf,udm
gwjx13n9,oid
5sne9l97,ssd
uumjttwy,esu
owepgmte,udm
0m2vglk9,wal
k3q76wni,jwu
ju0kcb1l,xzh
ejhjdcdr,xts
b5x0uep8,kka
9fbwmqjm,qyl
srr58l46,ugx
rcfxqd7a,ljj
rqqdkz5y,pme
luj3mlly,ukz
1y87suht,ugx
qn1n5hw1,jas
khtvjy2y,jmn
td0fkoml,wal
s8g5h188,pga
5rdealtj,oei
3v321y7a,xpf
3ur8bzzz,qzy
iy7v17kt,evr
a1124322,ugd
fdyuyxsf,rhv
npjvyb6b,eld
pcsl457r,rfq
zwlg9alw,icr
91a4wu0m,fhx
gmd7p6t4,lre
81lowio7,ugd
8zpa43b5,zpa
bubjenny,rhv
7zgyaxrp,jtx
5thcatvp,gkw
q1myp988,csu
luj3mlly,bdl
rqqdkz5y,eld
xee5lqfd,ljj
9od149f9,rsu
nsysiztm,jtx
h08jyx8c,pvs
c7renybl,kno
rzqrgun7,fhx
m8x4tsuu,xvc
jqbufdl2,akb
477chdp3,jas
mmcr3bqw,edz
s9k3b1bh,rbc
joe44s2l,yqi
91a4wu0m,nam
9s1wgq26,rqy
c80hmeho,mgo
ak3b71vt,mob
xj34vp5y,pgi
zsjc4uls,kju
8mco3bzg,tnn
vc62gku9,wze
kyc2shde,uut
luj3mlly,oei
o8qaf58j,mug
o902bltv,kno
fq4j5u1u,kea
i5w4n465,edz
tttd8tzm,wpz
wfbsjfoq,jas
pykf1vq7,evr
xvujosod,zxe
dmbf2lme,mll
3srzd0vx,edz
ueze2p37,mob
d4v2key7,yqi
8ldgr47w,rfq
bubjenny,udm
r92xfwkt,esu
bnrz4bm0,rqy
r6dj91y7,ljj
ern9zzni,xts
r87z129b,gkw
uumjttwy,akb
alrjk36m,wze
2ek3r1wf,esu
nxlc7qsz,rbc
qjbieo2q,jtx
gxg4pd9t,dnl
i5w4n465,pgi
lcbv3bcw,wpz
2iobrbqf,jag
umt60qez,ryy
bibuxl21,esu
qlpd7iuw,mwc
a3mfahx3,kii
nbdw2uek,ryy
5jiflut2,bdl
qgczc2up,xuk
awlkt247,rsu
e782mopp,hcc
ijmo16te,wpz
ky74e77k,mgo
g2m81wsc,rxm
jret4f2d,xvc
6tm0etuw,mwn
6m1eze4h,win
7oqbjytf,ukz
401qx0pn,xts
x3rpt427,tnn
hwi5reba,pme
y721ggps,xuk
09jyn3ly,rhv
udat77t0,rgk
x7lqpmko,agg
yzt6kuso,oid
52m6s8of,ezq
vvnspxl4,wal
xwyrxwtv,xzh
uyt0bexr,szm
im29r9in,rgk
z97l2yqh,evr
gs7w0y8w,gvs
qaskwea3,ngc
fl3eizk0,xzh
u9teptha,jmn
us1sjnhy,zpa
1fxspuzn,hiy
howmu7op,qdu
d5anfdej,akb
aqt8a65c,kii
rvoovkbw,ktv
gwjx13n9,ppz
t3lil7qa,udm
xj34vp5y,tlb
s7ukhr43,qvz
vxp9dfu7,xvc
0kn7z7ww,kka
iy7v17kt,tqv
qesasunn,qzy
ed6g6hlg,zkj
qe5qo4q5,kii
i688jvx5,wvt
dmbf2lme,hvl
xj2sddta,fhx
la4x0zdh,pgi
efmk7d8k,rqy
xf6fsj1g,ugx
ztoogmhc,szm
u7vt9o8h,ppz
tok3hx0f,oei
j8cic7sf,xhj
5kl6yqkd,ezq
dcle2lpa,esu
9cr1i9ds,ukz
68e9kgsi,qvz
h37q8eau,dip
8vvwh2by,csu
r8zm5ybf,bju
kstsp0nf,hcc
6msysbfa,akb
z72f5vr5,qvz
emokf87u,rsu
5sne9l97,hcc
y1hldevi,yqi
y1hldevi,evr
aca01bgg,ppz
6skoi6ek,kka
u9teptha,esu
s92lf2gd,xhj
g73b4uvx,wze
5ipanp7h,udm
wn6z4gnj,mgo
2nk74e3f,kka
jm8903td,zpa
czcd1zog,rbc
xx8z6cs7,tqv
pykf1vq7,pgi
s92lf2gd,ppz
gs7w0y8w,xvc
673t5cbd,ppz
wrkuh4qv,uut
xn1fhgbe,jxy
7p5pexit,zkb
4qci59lf,ryy
j33bqq7a,tnn
wn6z4gnj,ppz
feaay041,nam
u3yc9y45,jwu
5ipanp7h,rqy
k3q76wni,akb
h34bgpc9,mwc
6msysbfa,tlb
bibuxl21,icr
flxc3994,hiy
